canal,bloco,movimento,min_equiv,visitas,tot_canal,classe,pct_tempo_loja,min_em_8h
CLUB,Ponto Extra,Abastecer seguindo guia de execução + KBD's,64.03488372222095,2,1744.0,Execução (agrega valor),0.036717249840723026,17.624279923547054
CLUB,Ponto Extra,Limpeza do móvel / display,52.08756992490714,2,1744.0,Execução (agrega valor),0.029866725874373362,14.336028419699215
CLUB,Ponto Extra,Montagem do display / ponto extra,13.103442940780157,1,1744.0,Execução (agrega valor),0.007513442053199632,3.606452185535823
CLUB,Ponto Extra,Precificar todos os itens,18.51319086234579,2,1744.0,Execução (agrega valor),0.01061536173299644,5.095373631838291
CLUB,Ponto Natural,Abastecimento e organização (Layout/KBDs etc),277.27617940180613,5,1744.0,Execução (agrega valor),0.15898863497809984,76.31454478948793
CLUB,Ponto Natural,Buscar itens faltantes no estoque,142.09803342362414,5,1744.0,Deslocamento e busca,0.08147823017409642,39.10955048356628
CLUB,Ponto Natural,Limpeza antes do abastecimento,101.33017403177237,5,1744.0,Execução (agrega valor),0.05810216400904379,27.88903872434102
CLUB,Ponto Natural,Precificar todos os itens,88.16917871711783,5,1744.0,Execução (agrega valor),0.05055572174146664,24.26674643590399
CLUB,Ponto Natural,Validar estoque virtual,35.60198144444002,4,1744.0,Apoio e análise,0.020413980186032122,9.798710489295418
CLUB,Saída,Deixar o setor / estoque,5.0,1,1744.0,Deslocamento e busca,0.0028669724770642203,1.3761467889908259
CLUB,Saída,Deslocamento até a saída da loja,11.0,2,1744.0,Deslocamento e busca,0.006307339449541285,3.0275229357798166
CLUB,Saída,Guardar equipamentos / materiais,6.0,2,1744.0,Espera e burocracia,0.0034403669724770644,1.651376146788991
CLUB,Saída,Saída da loja (portaria/catraca),5.0,1,1744.0,Espera e burocracia,0.0028669724770642203,1.3761467889908259
DPP,Abertura,"Conferir encarte, Guia de PDV e MOP",47.33506632256631,13,3307.0,Apoio e análise,0.01431359731556284,6.870526711470164
DPP,Abertura,Cumprimentar gerente / encarregado,15.086468064099643,9,3307.0,Apoio e análise,0.004561980061717461,2.1897504296243815
DPP,Abertura,Identificar pontos de atenção / rupturas,74.01935564435566,18,3307.0,Apoio e análise,0.022382629466088797,10.743662143722622
DPP,Abertura,Passar por todas as categorias puxando frentes,150.46305207949945,24,3307.0,Apoio e análise,0.0454983526094646,21.83920925254301
DPP,Abertura,Pegar relatório de estoque para conferência,33.34255590900328,16,3307.0,Apoio e análise,0.010082417873904832,4.83956057947432
DPP,Check Out,Abastecer seguindo o guia de execução,71.9968599383073,16,3307.0,Execução (agrega valor),0.021771049270730963,10.450103649950861
DPP,Check Out,Conferir KBD's (Direcionamentos Chaves),34.0935286935287,9,3307.0,Execução (agrega valor),0.01030950368718739,4.948561769849947
DPP,Check Out,Limpeza dos móveis antes do abastecimento,37.061219044113784,13,3307.0,Execução (agrega valor),0.011206900225011729,5.37931210800563
DPP,Check Out,Precificar todos os itens,48.81467837717838,14,3307.0,Execução (agrega valor),0.014761015535887021,7.08528745722577
DPP,Entrada,Chegada à loja (portaria/entrada),315.30916568811296,15,3307.0,Deslocamento e busca,0.09534598297191199,45.76607182651776
DPP,Entrada,Espera para autorização / cadastro / liberação,79.59003481898213,10,3307.0,Espera e burocracia,0.024067140858476607,11.552227612068771
DPP,Entrada,Guardar pertences / retirar equipamentos / EPIs,64.67336815231546,9,3307.0,Espera e burocracia,0.01955650684980812,9.387123287907897
DPP,Entrada,Localizar o setor / estoque / responsável,55.131701485648776,14,3307.0,Deslocamento e busca,0.016671213028620735,8.002182253737953
DPP,Entrada,Registro de entrada (app / sistema do cliente),150.88286559931296,16,3307.0,Espera e burocracia,0.04562529954620894,21.90014378218029
DPP,Estoque,Deslocamento até o estoque,22.797655122655122,15,3307.0,Deslocamento e busca,0.006893757218825256,3.309003465036123
DPP,Estoque,Localizar produtos no estoque,39.37790126540126,18,3307.0,Deslocamento e busca,0.011907439148896663,5.715570791470398
DPP,Estoque,Organização / arrumação do estoque,21.630124042624043,11,3307.0,Apoio e análise,0.006540708812405214,3.1395402299545028
DPP,Estoque,Retorno ao setor com os produtos,34.85788655788651,12,3307.0,Deslocamento e busca,0.010540636999663292,5.05950575983838
